alignment,combat,durability,gender,height,id,image,intelligence,name,power,publisher,race,speed,strength,weight
good,null,null,Male,0 cm,366,https://www.superherodb.com/pictures2/portraits/10/100/1121.jpg,null,Johann Krauss,null,Dark Horse Comics,null,null,30,0 kg
good,42,32,Female,165 cm,371,https://www.superherodb.com/pictures2/portraits/10/100/1323.jpg,63,Jolt,31,Marvel Comics,null,27,12,49 kg
good,80,28,Male,183 cm,369,https://www.superherodb.com/pictures2/portraits/10/100/1314.jpg,75,John Wraith,87,Marvel Comics,null,35,12,88 kg
good,90,20,Female,165 cm,372,https://www.superherodb.com/pictures2/portraits/10/100/87.jpg,56,Jubilee,66,Marvel Comics,Mutant,22,8,52 kg
good,95,50,Male,188 cm,373,https://www.superherodb.com/pictures2/portraits/10/100/1163.jpg,75,Judge Dredd,52,Rebellion,Human,38,18,0 kg
bad,70,60,Male,196 cm,370,https://www.superherodb.com/pictures2/portraits/10/100/719.jpg,100,Joker,43,DC Comics,Human,12,10,86 kg
neutral,70,100,Male,287 cm,374,https://www.superherodb.com/pictures2/portraits/10/100/826.jpg,44,Juggernaut,85,Marvel Comics,Human,42,100,855 kg
bad,30,90,Male,0 cm,375,https://www.superherodb.com/pictures2/portraits/10/100/10002.jpg,50,Junkpile,81,Marvel Comics,Mutant,17,38,0 kg
good,30,70,Male,178 cm,376,https://www.superherodb.com/pictures2/portraits/10/100/88.jpg,50,Justice,55,Marvel Comics,Human,33,10,81 kg
good,null,null,Female,0 cm,377,https://www.superherodb.com/pictures2/portraits/10/100/10562.jpg,null,Jyn Erso,null,George Lucas,Human,null,null,0 kg
good,null,null,Male,213 cm,378,https://www.superherodb.com/pictures2/portraits/10/100/10643.jpg,null,K-2SO,null,George Lucas,Android,null,null,0 kg
bad,70,70,Male,191 cm,379,https://www.superherodb.com/pictures2/portraits/10/100/1053.jpg,100,Kang,100,Iron Lad,null,58,48,104 kg
good,50,25,Female,0 cm,380,https://www.superherodb.com/pictures2/portraits/10/100/10581.jpg,75,Kathryn Janeway,21,Star Trek,Human,21,8,0 kg
good,55,25,Female,0 cm,381,https://www.superherodb.com/pictures2/portraits/10/100/10484.jpg,56,Katniss Everdeen,24,,Human,21,8,0 kg
good,56,35,Male,0 cm,383,https://www.superherodb.com/pictures2/portraits/10/100/1158.jpg,38,Kick-Ass,22,Icon Comics,Human,23,10,0 kg
good,40,14,Male,0 cm,382,https://www.superherodb.com/pictures2/portraits/10/100/1408.jpg,25,Kevin 11,100,DC Comics,Human,12,7,0 kg
good,30,42,Male,0 cm,384,https://www.superherodb.com/pictures2/portraits/10/100/722.jpg,25,Kid Flash,20,DC Comics,Human,92,4,0 kg
good,null,null,Male,0 cm,385,https://www.superherodb.com/pictures2/portraits/10/100/894.jpg,null,Kid Flash II,null,Flash IV,null,null,47,0 kg
bad,60,90,Male,244 cm,386,https://www.superherodb.com/pictures2/portraits/10/100/723.jpg,19,Killer Croc,53,DC Comics,Metahuman,35,53,356 kg
good,80,42,Male,234 cm,388,https://www.superherodb.com/pictures2/portraits/10/100/1428.jpg,81,Kilowog,100,DC Comics,Bolovaxian,53,90,324 kg
good,75,75,Male,30.5 meters,389,https://www.superherodb.com/pictures2/portraits/10/100/10591.jpg,56,King Kong,47,,Animal,71,100,"9,000 tons"
bad,30,35,Female,0 cm,387,https://www.superherodb.com/pictures2/portraits/10/100/10508.jpg,88,Killer Frost,59,DC Comics,Human,13,10,0 kg
bad,40,90,Male,0 cm,390,https://www.superherodb.com/pictures2/portraits/10/100/10512.jpg,50,King Shark,86,DC Comics,Animal,50,88,0 kg
bad,60,100,Male,188 cm,392,https://www.superherodb.com/pictures2/portraits/10/100/1539.jpg,63,Klaw,62,Marvel Comics,Human,33,38,97 kg
bad,70,40,Male,201 cm,391,https://www.superherodb.com/pictures2/portraits/10/100/623.jpg,75,Kingpin,13,Marvel Comics,Human,25,18,203 kg
good,14,10,Male,0 cm,393,https://www.superherodb.com/pictures2/portraits/10/100/1343.jpg,25,Kool-Aid Man,9,null,null,8,18,0 kg
bad,85,42,Male,183 cm,395,https://www.superherodb.com/pictures2/portraits/10/100/1033.jpg,63,Kraven the Hunter,25,Marvel Comics,Human,35,32,106 kg
bad,85,28,Male,191 cm,394,https://www.superherodb.com/pictures2/portraits/10/100/1034.jpg,50,Kraven II,43,Marvel Comics,Human,23,34,99 kg
good,40,90,Male,64 cm,396,https://www.superherodb.com/pictures2/portraits/10/100/725.jpg,9,Krypto,82,DC Comics,Kryptonian,100,80,18 kg
bad,70,30,Male,0 cm,398,https://www.superherodb.com/pictures2/portraits/10/100/10559.jpg,56,Kylo Ren,100,George Lucas,Human,33,44,0 kg
good,60,60,Male,180 cm,397,https://www.superherodb.com/pictures2/portraits/10/100/1409.jpg,69,Kyle Rayner,100,DC Comics,Human,50,90,79 kg
bad,90,85,Female,175 cm,400,https://www.superherodb.com/pictures2/portraits/10/100/810.jpg,63,Lady Deathstrike,48,Marvel Comics,Cyborg,42,28,58 kg
bad,null,null,Female,0 cm,399,https://www.superherodb.com/pictures2/portraits/10/100/1170.jpg,null,Lady Bullseye,null,Marvel Comics,null,null,63,0 kg
good,14,14,Male,0 cm,402,https://www.superherodb.com/pictures2/portraits/10/100/834.jpg,25,Leech,62,Marvel Comics,null,12,5,0 kg
bad,42,14,Male,178 cm,401,https://www.superherodb.com/pictures2/portraits/10/100/885.jpg,100,Leader,59,Marvel Comics,null,12,10,63 kg
good,75,30,Male,175 cm,403,https://www.superherodb.com/pictures2/portraits/10/100/10651.jpg,50,Legion,100,Marvel Comics,Mutant,42,100,59 kg
good,80,65,Male,0 cm,404,https://www.superherodb.com/pictures2/portraits/10/100/10327.jpg,75,Leonardo,59,IDW Publishing,Mutant,50,16,0 kg
bad,70,65,Male,188 cm,405,https://www.superherodb.com/pictures2/portraits/10/100/727.jpg,100,Lex Luthor,68,DC Comics,Human,25,53,95 kg
bad,42,42,Male,191 cm,408,https://www.superherodb.com/pictures2/portraits/10/100/1179.jpg,44,Lightning Lord,66,DC Comics,null,23,10,95 kg
good,42,28,Male,155 cm,407,https://www.superherodb.com/pictures2/portraits/10/100/1177.jpg,38,Lightning Lad,60,DC Comics,null,23,10,65 kg
bad,28,56,-,198 cm,409,https://www.superherodb.com/pictures2/portraits/10/100/1037.jpg,75,Living Brain,31,Marvel Comics,null,35,53,360 kg
good,42,28,Female,165 cm,406,https://www.superherodb.com/pictures2/portraits/10/100/1178.jpg,38,Light Lass,67,DC Comics,null,35,10,54 kg
neutral,30,100,-,0 cm,410,https://www.superherodb.com/pictures2/portraits/10/100/10523.jpg,100,Living Tribunal,100,Marvel Comics,Cosmic Entity,100,100,0 kg
good,null,null,Female,0 cm,411,https://www.superherodb.com/pictures2/portraits/10/100/868.jpg,null,Liz Sherman,null,Dark Horse Comics,null,null,null,0 kg
neutral,85,100,Male,229 cm,413,https://www.superherodb.com/pictures2/portraits/10/100/1127.jpg,94,Lobo,100,DC Comics,Czarnian,54,100,288 kg
bad,56,70,Male,203 cm,412,https://www.superherodb.com/pictures2/portraits/10/100/11.jpg,50,Lizard,63,Marvel Comics,Human,27,51,230 kg
bad,60,85,Male,193 cm,414,https://www.superherodb.com/pictures2/portraits/10/100/928.jpg,88,Loki,100,Marvel Comics,Asgardian,46,63,236 kg
good,70,95,Male,198 cm,416,https://www.superherodb.com/pictures2/portraits/10/100/269.jpg,50,Luke Cage,44,Power Man,Human,29,63,191 kg
good,70,10,Male,188 cm,415,https://www.superherodb.com/pictures2/portraits/10/100/1531.jpg,50,Longshot,71,Marvel Comics,Human,27,10,36 kg
bad,null,null,Male,0 cm,417,https://www.superherodb.com/pictures2/portraits/10/100/1311.jpg,null,Luke Campbell,null,NBC - Heroes,null,null,null,0 kg
good,100,25,Male,168 cm,418,https://www.superherodb.com/pictures2/portraits/10/100/10447.jpg,69,Luke Skywalker,100,George Lucas,Human,42,38,77 kg
good,14,14,Female,0 cm,419,https://www.superherodb.com/pictures2/portraits/10/100/933.jpg,38,Luna,53,Marvel Comics,Human,83,6,0 kg
bad,56,84,Male,180 cm,421,https://www.superherodb.com/pictures2/portraits/10/100/370.jpg,75,Mach-IV,60,Marvel Comics,null,60,36,79 kg
good,null,null,Female,0 cm,420,https://www.superherodb.com/pictures2/portraits/10/100/1017.jpg,null,Lyja,null,Marvel Comics,null,null,null,0 kg
good,64,84,-,183 cm,422,https://www.superherodb.com/pictures2/portraits/10/100/90.jpg,63,Machine Man,51,Marvel Comics,null,35,32,383 kg
bad,80,84,Male,188 cm,423,https://www.superherodb.com/pictures2/portraits/10/100/12.jpg,88,Magneto,91,Marvel Comics,Mutant,27,80,86 kg
good,72,64,Male,0 cm,424,https://www.superherodb.com/pictures2/portraits/10/100/1324.jpg,50,Magog,66,DC Comics,null,23,48,0 kg
-,100,100,-,0 cm,426,https://www.superherodb.com/pictures2/portraits/10/100/10889.jpg,100,Man of Miracles,100,Image Comics,God / Eternal,100,100,0 kg
bad,74,99,Male,183 cm,425,https://www.superherodb.com/pictures2/portraits/10/100/1297.jpg,88,Magus,100,Marvel Comics,null,70,100,0 kg
neutral,30,70,Male,0 cm,427,https://www.superherodb.com/pictures2/portraits/10/100/731.jpg,38,Man-Bat,33,DC Comics,Human,50,18,0 kg
good,40,100,Male,213 cm,428,https://www.superherodb.com/pictures2/portraits/10/100/382.jpg,50,Man-Thing,100,Marvel Comics,null,8,32,225 kg
good,70,42,Male,188 cm,429,https://www.superherodb.com/pictures2/portraits/10/100/91.jpg,63,Man-Wolf,45,Marvel Comics,null,35,44,90 kg
bad,95,28,Male,188 cm,430,https://www.superherodb.com/pictures2/portraits/10/100/1175.jpg,100,Mandarin,100,Marvel Comics,Human,23,28,97 kg
good,80,80,Female,168 cm,431,https://www.superherodb.com/pictures2/portraits/10/100/384.jpg,63,Mantis,100,Marvel Comics,Human-Kree,33,8,52 kg
good,85,100,Male,201 cm,432,https://www.superherodb.com/pictures2/portraits/10/100/733.jpg,100,Martian Manhunter,100,DC Comics,Martian,92,95,135 kg
bad,70,85,Male,0 cm,436,https://www.superherodb.com/pictures2/portraits/10/100/1459.jpg,75,Match,100,DC Comics,null,83,95,0 kg
good,80,42,Female,170 cm,433,https://www.superherodb.com/pictures2/portraits/10/100/94.jpg,63,Marvel Girl,100,Marvel Comics,null,47,85,56 kg
good,null,null,Male,183 cm,434,https://www.superherodb.com/pictures2/portraits/10/100/958.jpg,null,Master Brood,null,Team Epic TV,null,null,null,81 kg
good,56,14,Male,0 cm,437,https://www.superherodb.com/pictures2/portraits/10/100/948.jpg,63,Matt Parkman,59,NBC - Heroes,null,12,10,0 kg
good,85,42,Male,193 cm,438,https://www.superherodb.com/pictures2/portraits/10/100/257.jpg,63,Maverick,60,Marvel Comics,null,12,10,110 kg
good,100,80,Male,213 cm,435,https://www.superherodb.com/pictures2/portraits/10/100/1110.jpg,75,Master Chief,69,Microsoft,Human / Altered,35,73,0 kg
bad,75,56,Female,180 cm,439,https://www.superherodb.com/pictures2/portraits/10/100/1168.jpg,75,Maxima,81,DC Comics,null,35,90,72 kg
good,56,70,Female,180 cm,441,https://www.superherodb.com/pictures2/portraits/10/100/96.jpg,75,Medusa,37,Marvel Comics,Inhuman,35,34,59 kg
good,14,14,Female,0 cm,440,https://www.superherodb.com/pictures2/portraits/10/100/944.jpg,50,Maya Herrera,60,NBC - Heroes,null,12,10,0 kg
good,80,60,Female,175 cm,444,https://www.superherodb.com/pictures2/portraits/10/100/1388.jpg,56,Mera,92,DC Comics,Atlantean,79,62,72 kg
bad,42,95,Male,198 cm,443,https://www.superherodb.com/pictures2/portraits/10/100/1322.jpg,88,Mephisto,100,Marvel Comics,null,35,85,140 kg
good,64,42,Female,165 cm,442,https://www.superherodb.com/pictures2/portraits/10/100/258.jpg,38,Meltdown,62,Boom-Boom,null,12,10,54 kg
good,null,null,Male,185 cm,446,https://www.superherodb.com/pictures2/portraits/10/100/738.jpg,null,Metamorpho,null,DC Comics,null,null,82,90 kg
bad,64,95,Male,196 cm,445,https://www.superherodb.com/pictures2/portraits/10/100/737.jpg,75,Metallo,86,DC Comics,Android,23,53,90 kg
good,null,null,Female,0 cm,447,https://www.superherodb.com/pictures2/portraits/10/100/1333.jpg,null,Meteorite,null,Marvel Comics,null,null,null,0 kg
good,28,56,Male,185 cm,448,https://www.superherodb.com/pictures2/portraits/10/100/841.jpg,88,Metron,100,DC Comics,null,47,10,86 kg
good,42,56,Male,188 cm,452,https://www.superherodb.com/pictures2/portraits/10/100/97.jpg,63,Mimic,79,Marvel Comics,null,47,67,101 kg
good,32,28,Male,183 cm,451,https://www.superherodb.com/pictures2/portraits/10/100/1181.jpg,38,Micro Lad,44,DC Comics,null,27,28,77 kg
good,null,null,Female,0 cm,453,https://www.superherodb.com/pictures2/portraits/10/100/881.jpg,null,Minna Murray,null,Wildstorm,null,null,null,0 kg
good,14,14,Male,0 cm,449,https://www.superherodb.com/pictures2/portraits/10/100/951.jpg,63,Micah Sanders,57,NBC - Heroes,null,12,8,0 kg
good,75,65,Male,0 cm,450,https://www.superherodb.com/pictures2/portraits/10/100/10329.jpg,63,Michelangelo,59,IDW Publishing,Mutant,50,14,0 kg
good,42,80,Female,0 cm,454,https://www.superherodb.com/pictures2/portraits/10/100/1114.jpg,63,Misfit,91,Batgirl V,null,23,32,0 kg
good,45,100,Female,178 cm,455,https://www.superherodb.com/pictures2/portraits/10/100/1394.jpg,63,Miss Martian,100,DC Comics,null,58,85,61 kg
good,64,70,Male,185 cm,456,https://www.superherodb.com/pictures2/portraits/10/100/408.jpg,100,Mister Fantastic,33,Marvel Comics,Human / Radiation,18,10,81 kg
bad,65,30,Male,0 cm,458,https://www.superherodb.com/pictures2/portraits/10/100/10633.jpg,75,Mister Knife,13,Marvel Comics,Spartoi,17,10,0 kg
bad,28,70,Male,183 cm,457,https://www.superherodb.com/pictures2/portraits/10/100/742.jpg,75,Mister Freeze,37,DC Comics,Human,12,32,86 kg
bad,50,90,Male,196 cm,460,https://www.superherodb.com/pictures2/portraits/10/100/856.jpg,100,Mister Sinister,100,Marvel Comics,Human / Altered,46,48,128 kg
good,95,20,Female,175 cm,462,https://www.superherodb.com/pictures2/portraits/10/100/1328.jpg,75,Mockingbird,48,Marvel Comics,Human,38,31,61 kg
bad,85,28,Male,0 cm,461,https://www.superherodb.com/pictures2/portraits/10/100/1486.jpg,88,Mister Zsasz,18,DC Comics,Human,33,22,0 kg
bad,50,100,Male,0 cm,459,https://www.superherodb.com/pictures2/portraits/10/100/744.jpg,100,Mister Mxyzptlk,100,DC Comics,God / Eternal,100,85,0 kg
bad,15,25,Male,366 cm,463,https://www.superherodb.com/pictures2/portraits/10/100/10438.jpg,100,MODOK,79,Marvel Comics,Cyborg,25,18,338 kg
good,null,null,Male,0 cm,464,https://www.superherodb.com/pictures2/portraits/10/100/1432.jpg,null,Mogo,null,DC Comics,Planet,null,null,0 kg
good,null,null,Male,0 cm,465,https://www.superherodb.com/pictures2/portraits/10/100/1313.jpg,null,Mohinder Suresh,null,NBC - Heroes,null,null,null,0 kg
bad,null,null,Male,0 cm,466,https://www.superherodb.com/pictures2/portraits/10/100/1061.jpg,null,Moloch,null,DC Comics,null,null,null,0 kg
good,null,null,Male,193 cm,468,https://www.superherodb.com/pictures2/portraits/10/100/1006.jpg,null,Monarch,null,DC Comics,null,null,100,90 kg
good,75,42,Male,188 cm,470,https://www.superherodb.com/pictures2/portraits/10/100/415.jpg,50,Moon Knight,28,Marvel Comics,Human,23,36,101 kg
bad,56,84,Male,196 cm,467,https://www.superherodb.com/pictures2/portraits/10/100/411.jpg,50,Molten Man,53,Marvel Comics,null,23,73,248 kg
bad,80,52,Female,180 cm,471,https://www.superherodb.com/pictures2/portraits/10/100/100.jpg,56,Moonstone,74,Marvel Comics,null,47,67,59 kg
good,90,14,Female,0 cm,469,https://www.superherodb.com/pictures2/portraits/10/100/942.jpg,50,Monica Dawson,48,NBC - Heroes,null,35,10,0 kg
bad,56,42,Male,188 cm,472,https://www.superherodb.com/pictures2/portraits/10/100/1171.jpg,63,Morlun,74,Marvel Comics,null,35,60,79 kg
good,null,null,Male,178 cm,473,https://www.superherodb.com/pictures2/portraits/10/100/102.jpg,null,Morph,null,Marvel Comics,null,null,40,79 kg
good,30,100,Male,188 cm,475,https://www.superherodb.com/pictures2/portraits/10/100/10794.jpg,50,Mr Immortal,69,Marvel Comics,Mutant,8,10,70 kg
bad,56,42,Male,175 cm,474,https://www.superherodb.com/pictures2/portraits/10/100/1020.jpg,75,Moses Magnum,55,Marvel Comics,null,12,28,72 kg
good,56,84,Female,173 cm,477,https://www.superherodb.com/pictures2/portraits/10/100/897.jpg,38,Ms Marvel II,11,She-Thing,null,23,63,61 kg
good,62,70,Male,180 cm,478,https://www.superherodb.com/pictures2/portraits/10/100/104.jpg,63,Multiple Man,28,Marvel Comics,null,23,11,70 kg
good,40,95,Male,201 cm,476,https://www.superherodb.com/pictures2/portraits/10/100/869.jpg,50,Mr Incredible,29,Dark Horse Comics,Human,33,83,158 kg
bad,70,40,Male,180 cm,479,https://www.superherodb.com/pictures2/portraits/10/100/1039.jpg,81,Mysterio,82,Marvel Comics,Human,17,10,79 kg
bad,74,64,Female,178 cm,480,https://www.superherodb.com/pictures2/portraits/10/100/817.jpg,75,Mystique,64,Marvel Comics,Mutant,23,12,54 kg
good,85,70,Male,188 cm,481,https://www.superherodb.com/pictures2/portraits/10/100/137.jpg,69,Namor,73,Marvel Comics,Atlantean,58,95,125 kg
good,64,42,Female,180 cm,483,https://www.superherodb.com/pictures2/portraits/10/100/1364.jpg,50,Namora,48,Marvel Comics,null,42,85,85 kg
good,70,70,Female,168 cm,484,https://www.superherodb.com/pictures2/portraits/10/100/106.jpg,50,Namorita,37,Marvel Comics,null,47,72,101 kg
good,null,null,Male,0 cm,482,https://www.superherodb.com/pictures2/portraits/10/100/105.jpg,null,Namor,null,Marvel Comics,null,null,null,0 kg
good,null,null,Male,0 cm,486,https://www.superherodb.com/pictures2/portraits/10/100/949.jpg,null,Nathan Petrelli,null,NBC - Heroes,null,null,null,0 kg
good,100,80,Male,168 cm,485,https://www.superherodb.com/pictures2/portraits/10/100/1540.jpg,50,Naruto Uzumaki,100,Shueisha,Human,32,80,54 kg
bad,60,50,Female,185 cm,487,https://www.superherodb.com/pictures2/portraits/10/100/10632.jpg,63,Nebula,42,Marvel Comics,Luphomoid,13,52,83 kg
good,80,14,Male,175 cm,490,https://www.superherodb.com/pictures2/portraits/10/100/107.jpg,50,Nightcrawler,76,Marvel Comics,null,47,10,88 kg
good,35,10,Female,0 cm,488,https://www.superherodb.com/pictures2/portraits/10/100/10556.jpg,50,Negasonic Teenage Warhead,45,Marvel Comics,Mutant,8,7,0 kg
good,56,28,Female,0 cm,492,https://www.superherodb.com/pictures2/portraits/10/100/952.jpg,63,Niki Sanders,37,NBC - Heroes,null,35,52,0 kg
good,100,28,Male,178 cm,491,https://www.superherodb.com/pictures2/portraits/10/100/851.jpg,88,Nightwing,36,Batman II,Human,33,11,79 kg
good,100,42,Male,185 cm,489,https://www.superherodb.com/pictures2/portraits/10/100/326.jpg,75,Nick Fury,25,Marvel Comics,Human,23,11,99 kg
good,20,10,Female,0 cm,493,https://www.superherodb.com/pictures2/portraits/10/100/1529.jpg,63,Nina Theroux,68,SyFy,Alpha,8,5,0 kg
good,80,100,Male,185 cm,496,https://www.superherodb.com/pictures2/portraits/10/100/109.jpg,100,Nova,100,Marvel Comics,Human,75,85,86 kg
good,70,56,Male,180 cm,495,https://www.superherodb.com/pictures2/portraits/10/100/1287.jpg,50,Northstar,65,Marvel Comics,null,83,18,83 kg
good,null,null,Male,0 cm,494,https://www.superherodb.com/pictures2/portraits/10/100/1059.jpg,null,Nite Owl II,null,DC Comics,null,null,45,0 kg
good,35,100,Female,163 cm,497,https://www.superherodb.com/pictures2/portraits/10/100/10313.jpg,63,Nova,100,Marvel Comics,Human / Cosmic,100,60,59 kg
good,90,95,Male,206 cm,498,https://www.superherodb.com/pictures2/portraits/10/100/10388.jpg,100,Odin,100,Marvel Comics,God / Eternal,67,83,293 kg
good,56,99,Male,0 cm,499,https://www.superherodb.com/pictures2/portraits/10/100/1298.jpg,50,Offspring,100,DC Comics,null,35,10,0 kg
bad,null,null,Male,211 cm,500,https://www.superherodb.com/pictures2/portraits/10/100/208.jpg,null,Omega Red,null,Marvel Comics,null,null,61,191 kg
good,null,null,Male,180 cm,501,https://www.superherodb.com/pictures2/portraits/10/100/1003.jpg,null,Omniscient,null,Team Epic TV,null,null,null,65 kg
good,50,95,Male,175 cm,502,https://www.superherodb.com/pictures2/portraits/10/100/10522.jpg,38,One Punch Man,55,Shueisha,Human,83,100,69 kg
neutral,100,100,-,0 cm,503,https://www.superherodb.com/pictures2/portraits/10/100/10374.jpg,100,One-Above-All,100,Marvel Comics,Cosmic Entity,100,100,0 kg
bad,55,100,Male,305 cm,504,https://www.superherodb.com/pictures2/portraits/10/100/13.jpg,88,Onslaught,100,Marvel Comics,Mutant,33,100,405 kg
good,76,28,Female,178 cm,505,https://www.superherodb.com/pictures2/portraits/10/100/749.jpg,75,Oracle,19,Batgirl,Human,23,11,59 kg
bad,95,20,Male,0 cm,508,https://www.superherodb.com/pictures2/portraits/10/100/1063.jpg,100,Ozymandias,49,DC Comics,Human,33,18,0 kg
bad,null,null,Male,0 cm,507,https://www.superherodb.com/pictures2/portraits/10/100/866.jpg,null,Overtkill,null,Image Comics,null,null,null,0 kg
bad,25,50,-,0 cm,509,https://www.superherodb.com/pictures2/portraits/10/100/10806.jpg,9,Parademon,53,DC Comics,Parademon,17,28,0 kg
good,42,95,Male,0 cm,506,https://www.superherodb.com/pictures2/portraits/10/100/1165.jpg,75,Osiris,65,DC Comics,null,60,85,0 kg
good,5,50,Male,170 cm,510,https://www.superherodb.com/pictures2/portraits/10/100/10479.jpg,8,Paul Blart,7,Sony Pictures,Human,21,11,117 kg
good,null,null,-,0 cm,511,https://www.superherodb.com/pictures2/portraits/10/100/929.jpg,null,Penance,null,Marvel Comics,null,null,null,0 kg
good,null,null,Female,0 cm,512,https://www.superherodb.com/pictures2/portraits/10/100/930.jpg,null,Penance I,null,Marvel Comics,null,null,null,0 kg
good,null,null,Male,183 cm,513,https://www.superherodb.com/pictures2/portraits/10/100/900.jpg,null,Penance II,null,Speedball,null,null,20,89 kg
good,null,null,Male,0 cm,515,https://www.superherodb.com/pictures2/portraits/10/100/889.jpg,null,Phantom,null,DC Comics,null,null,48,0 kg
bad,45,28,Male,157 cm,514,https://www.superherodb.com/pictures2/portraits/10/100/753.jpg,75,Penguin,30,DC Comics,Human,12,10,79 kg
good,80,100,Female,168 cm,517,https://www.superherodb.com/pictures2/portraits/10/100/828.jpg,100,Phoenix,100,Jean Grey,Mutant,83,100,52 kg
bad,25,55,Male,183 cm,518,https://www.superherodb.com/pictures2/portraits/10/100/10487.jpg,63,Plantman,61,Marvel Comics,Mutant,25,60,87 kg
good,null,null,Male,0 cm,519,https://www.superherodb.com/pictures2/portraits/10/100/1299.jpg,null,Plastic Lad,null,DC Comics,null,null,null,0 kg
good,42,28,Female,168 cm,516,https://www.superherodb.com/pictures2/portraits/10/100/1184.jpg,38,Phantom Girl,53,DC Comics,null,23,10,54 kg
good,56,100,Male,185 cm,520,https://www.superherodb.com/pictures2/portraits/10/100/756.jpg,50,Plastic Man,100,DC Comics,Human,23,63,80 kg
bad,40,40,Female,168 cm,522,https://www.superherodb.com/pictures2/portraits/10/100/757.jpg,81,Poison Ivy,100,DC Comics,Human,21,14,50 kg
bad,42,28,Female,168 cm,521,https://www.superherodb.com/pictures2/portraits/10/100/1176.jpg,50,Plastique,60,DC Comics,null,23,10,55 kg
good,75,100,Female,180 cm,524,https://www.superherodb.com/pictures2/portraits/10/100/758.jpg,94,Power Girl,100,DC Comics,Kryptonian,100,100,81 kg
good,null,null,Male,0 cm,525,https://www.superherodb.com/pictures2/portraits/10/100/1016.jpg,null,Power Man,null,Luke Cage,Mutant,null,82,0 kg
good,45,50,Female,170 cm,523,https://www.superherodb.com/pictures2/portraits/10/100/1046.jpg,63,Polaris,100,Marvel Comics,Mutant,42,73,52 kg
good,90,40,Female,180 cm,529,https://www.superherodb.com/pictures2/portraits/10/100/114.jpg,63,Psylocke,100,Marvel Comics,Mutant,25,33,70 kg
good,32,14,Male,183 cm,527,https://www.superherodb.com/pictures2/portraits/10/100/113.jpg,100,Professor X,100,Marvel Comics,Mutant,12,8,86 kg
bad,20,20,Male,180 cm,528,https://www.superherodb.com/pictures2/portraits/10/100/766.jpg,94,Professor Zoom,83,DC Comics,Human,100,10,81 kg
bad,90,85,Male,213 cm,526,https://www.superherodb.com/pictures2/portraits/10/100/10448.jpg,63,Predator,100,Dark Horse Comics,Yautja,25,30,234 kg
good,100,45,Male,183 cm,530,https://www.superherodb.com/pictures2/portraits/10/100/112.jpg,69,Punisher,42,Marvel Comics,Human,21,16,90 kg
bad,10,30,Male,180 cm,531,https://www.superherodb.com/pictures2/portraits/10/100/10451.jpg,56,Purple Man,92,Marvel Comics,Human,8,10,74 kg
bad,28,14,Male,178 cm,532,https://www.superherodb.com/pictures2/portraits/10/100/853.jpg,38,Pyro,54,Marvel Comics,null,12,10,68 kg
good,null,null,Male,0 cm,534,https://www.superherodb.com/pictures2/portraits/10/100/1157.jpg,null,Quantum,null,HarperCollins,null,null,null,0 kg
-,40,100,Male,0 cm,533,https://www.superherodb.com/pictures2/portraits/10/100/10578.jpg,100,Q,100,Star Trek,God / Eternal,17,12,0 kg
good,56,60,Male,183 cm,536,https://www.superherodb.com/pictures2/portraits/10/100/115.jpg,63,Quicksilver,81,Marvel Comics,Mutant,100,28,79 kg
good,14,14,Male,163 cm,537,https://www.superherodb.com/pictures2/portraits/10/100/830.jpg,38,Quill,23,Marvel Comics,null,12,10,56 kg
good,80,35,Male,188 cm,535,https://www.superherodb.com/pictures2/portraits/10/100/760.jpg,81,Question,20,DC Comics,Human,27,14,83 kg
bad,100,42,Male,193 cm,538,https://www.superherodb.com/pictures2/portraits/10/100/761.jpg,100,Ra's Al Ghul,27,DC Comics,Human,32,28,97 kg
good,10,10,Female,0 cm,539,https://www.superherodb.com/pictures2/portraits/10/100/1530.jpg,63,Rachel Pirzad,52,SyFy,Alpha,8,4,0 kg
good,80,65,Male,0 cm,541,https://www.superherodb.com/pictures2/portraits/10/100/10328.jpg,63,Raphael,59,IDW Publishing,Mutant,50,17,0 kg
neutral,40,70,Female,165 cm,542,https://www.superherodb.com/pictures2/portraits/10/100/764.jpg,50,Raven,84,DC Comics,Human,29,10,50 kg
good,100,30,Male,178 cm,540,https://www.superherodb.com/pictures2/portraits/10/100/10475.jpg,63,Rambo,30,null,Human,25,14,83 kg
good,20,100,Male,178 cm,543,https://www.superherodb.com/pictures2/portraits/10/100/10204.jpg,50,Ray,100,DC Comics,Human,92,10,70 kg
bad,null,null,Male,191 cm,544,https://www.superherodb.com/pictures2/portraits/10/100/935.jpg,null,Razor-Fist II,null,Marvel Comics,null,null,null,117 kg
neutral,95,28,Male,183 cm,546,https://www.superherodb.com/pictures2/portraits/10/100/932.jpg,75,Red Hood,35,Robin II,Human,23,12,81 kg
good,80,20,Male,180 cm,545,https://www.superherodb.com/pictures2/portraits/10/100/1013.jpg,63,Red Arrow,23,DC Comics,Human,25,16,83 kg
bad,56,14,Male,0 cm,548,https://www.superherodb.com/pictures2/portraits/10/100/1337.jpg,25,Red Mist,20,Icon Comics,null,23,10,0 kg
good,80,32,Male,165 cm,549,https://www.superherodb.com/pictures2/portraits/10/100/10009.jpg,81,Red Robin,29,Robin III,Human,27,11,56 kg
